Time,Yaw_Angle
1773652952.4859707,90.1
1773652952.5854325,90.1
1773652952.6851315,90.1
1773652952.786153,90.1
1773652952.8854458,90.1
1773652952.985177,90.1
1773652953.0853982,90.1
1773652953.1851807,90.1
1773652953.2851875,90.1
1773652953.3851798,90.1
1773652953.4860015,90.1
1773652953.5853436,90.1
1773652953.6851318,90.1
1773652953.7855847,90.1
1773652953.885604,90.1
1773652953.9852445,90.1
1773652954.085193,90.1
1773652954.185121,90.1
1773652954.2854319,90.1
1773652954.385481,90.1
1773652954.485741,90.1
1773652954.5852368,90.1
1773652954.6851895,90.1
1773652954.7851617,90.1
1773652954.885437,90.1
1773652954.9852645,90.1
1773652955.085219,90.1
1773652955.1853614,90.1
1773652955.2855124,90.1
1773652955.3853376,90.1
1773652955.485602,90.1
1773652955.58545,90.1
1773652955.6851656,90.1
1773652955.785185,90.1
1773652955.8853855,90.1
1773652955.9855216,90.1
1773652956.085152,90.1
1773652956.1852212,90.1
1773652956.2855468,90.1
1773652956.385448,90.1
1773652956.4855378,90.1
1773652956.5853944,90.1
1773652956.6852283,90.1
1773652956.7854974,90.1
1773652956.8851714,90.1
1773652956.9854531,90.1
1773652957.0850914,90.1
1773652957.1851306,90.1
1773652957.2855916,90.1
1773652957.3856997,90.1
1773652957.4854505,90.1
1773652957.585204,90.1
1773652957.685095,90.1
1773652957.7856,90.1
1773652957.8852391,90.1
1773652957.9852917,90.1
1773652958.0851138,90.1
1773652958.1851723,90.1
1773652958.28554,90.1
1773652958.3851721,90.1
1773652958.4854298,90.1
1773652958.5856607,90.1
1773652958.685188,90.1
1773652958.7854576,90.1
1773652958.8851652,90.1
1773652958.985138,90.1
1773652959.0851724,90.1
1773652959.1852686,90.1
1773652959.285435,90.1
1773652959.3854737,90.1
1773652959.4856062,90.1
1773652959.58536,90.1
1773652959.6851778,90.1
1773652959.7855167,90.1
1773652959.8854463,90.1
1773652959.985958,90.1
1773652960.0853002,90.1
1773652960.1851826,90.1
1773652960.2853432,90.1
1773652960.3855207,90.1
1773652960.4854326,90.1
1773652960.585647,90.1
1773652960.6850865,90.1
1773652960.785207,90.1
1773652960.8855932,90.1
1773652960.9857512,90.1
1773652961.0853324,90.1
1773652961.185304,90.1
1773652961.2853286,90.1
1773652961.3857589,90.1
1773652961.4855866,90.1
1773652961.5854154,90.1
1773652961.6858366,90.1
1773652961.7852767,90.1
1773652961.8856144,90.1
1773652961.9854183,90.1
1773652962.0856164,90.1
1773652962.1852248,90.1
1773652962.2852855,90.1
1773652962.3853595,90.1
1773652962.4853942,90.1
1773652962.5856824,90.1
1773652962.6858723,90.1
1773652962.7853224,90.1
1773652962.8851564,90.1
1773652962.9856381,90.1
1773652963.0857434,90.1
1773652963.185274,90.1
1773652963.2851555,90.1
1773652963.3850937,90.1
1773652963.485284,90.1
1773652963.585827,90.1
1773652963.685378,90.1
1773652963.7851787,90.1
1773652963.8854861,90.1
1773652963.985254,90.1
1773652964.0859568,90.1
1773652964.1852174,90.1
1773652964.2851021,90.1
1773652964.3854096,90.1
1773652964.4853878,90.1
1773652964.5857801,90.1
1773652964.685432,90.1
1773652964.7851548,90.1
1773652964.8855324,90.1
1773652964.9854798,90.1
1773652965.0857923,90.1
1773652965.185344,90.1
1773652965.2851152,90.1
1773652965.3854976,90.1
1773652965.4851387,90.1
1773652965.5854685,90.1
1773652965.685232,90.1
1773652965.785153,90.1
1773652965.8853564,90.1
1773652965.9853709,90.1
1773652966.0859814,90.1
1773652966.1854217,90.1
1773652966.285281,90.1
